Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,74.18,76.23,,84.96,83.6,62.22,81.5,85.42,64.01,84.86,77.08,74.42,74.24,64.8,76.01,68.05,63.48,74.05,45.82,83.05,72.92,73.94,73.52,75.76,85.8,73.06,75.91,75.47,70.05,80.29,78.94,,71.29,86.38,63.07,66.74,68.82,76.22,79.26,60.78,80.96,75.49,78.17,77.36,79.94,59.7,87.75,76.71,76.47,81.57,78.79
2003,74.55,79.26,80.71,87.65,85.35,62.32,81.71,85.57,69.46,84.68,79.28,73.35,74.52,65.03,80.21,66.83,66.68,73.79,,83.63,75.41,76.01,77.28,76.89,,72.88,67.14,76.67,70.96,78.89,80.14,,72.64,86.08,67.0,66.45,57.48,77.16,79.64,61.19,80.44,73.51,78.7,75.95,82.71,60.73,86.5,76.86,78.74,82.01,80.9
2004,75.28,78.74,80.9,87.77,86.48,62.92,81.18,86.63,63.97,85.86,79.42,73.89,74.79,,79.5,64.11,69.56,74.5,48.21,82.27,76.08,76.75,78.42,77.31,86.72,73.09,85.64,74.01,72.59,79.5,81.63,,75.11,86.3,65.44,64.69,56.05,77.05,79.41,61.74,81.45,73.23,79.98,78.37,84.11,60.29,86.08,75.8,76.79,82.6,81.08
2005,74.11,79.49,80.99,86.99,78.94,63.02,80.67,86.89,59.55,86.25,79.39,73.48,72.9,66.16,79.76,66.5,71.73,68.62,68.22,84.44,,76.08,76.41,76.9,87.47,76.35,71.12,72.45,,74.43,79.73,,75.48,82.15,67.26,63.63,55.74,77.95,79.99,62.37,81.73,73.32,,77.82,,,85.71,80.48,75.58,,81.27
2006,75.16,80.84,81.95,86.34,88.48,63.12,80.56,86.6,61.3,86.4,78.82,78.52,74.79,67.13,79.6,69.04,72.81,67.84,69.4,82.5,76.41,75.69,,78.24,88.55,71.93,69.87,71.88,68.59,75.46,81.01,55.07,75.32,82.6,57.42,65.04,,78.01,80.08,64.09,81.34,73.92,81.54,78.99,76.44,59.68,85.35,74.51,76.67,83.11,82.15
2007,77.94,81.51,82.28,83.81,89.29,63.37,80.2,86.82,63.53,86.43,79.06,77.79,71.93,68.96,80.43,69.09,74.93,71.12,71.1,84.4,74.39,76.03,,77.37,89.61,72.08,70.81,73.14,72.79,76.94,80.68,56.55,75.95,83.81,66.77,66.91,,78.14,80.46,65.44,81.88,74.14,83.31,77.7,74.27,,85.71,76.42,75.44,82.81,82.61
2008,78.21,83.22,75.43,82.91,,61.39,80.65,86.12,67.29,87.36,79.66,76.72,73.73,69.95,77.75,72.58,77.31,,73.62,81.7,77.13,75.17,79.14,77.0,90.75,73.72,72.66,75.42,75.11,78.31,81.4,62.34,75.16,87.45,64.93,68.95,,77.48,80.13,67.8,81.9,75.23,84.26,76.21,79.4,66.43,86.39,74.04,77.65,81.18,83.15
