Year,DE,AL,OK,TX,CO,KS,NE,ID,SC,NM,NH,RI,MO,MT,SD,FL,AZ,VT,OR,WI,WY,NY,AR,IN,ME,VA,PA,MA,CT,IA,CA,ND,LA,DC,OH,KY,MS,TN,NJ,WA,IL,MD,AK,NC,MI,NV,GA,UT,MN,HI,WV
2010,129277,657792,506714,2601886,549625,376116,246677,194668,631874,272255,178268,151881,838294,146742,116581,3259602,881831,91078,533533,777314,70090,2617943,419981,841108,211080,976937,1959307,902724,506559,452888,4246514,97477,557857,68809,1622015,578227,380407,853462,1185993,827677,1609213,707642,54938,1234079,1361530,324359,1032035,249462,683121,195138,297404
2000,101726,579792,455950,2072532,416073,13139,232195,145914,485333,212225,147970,152402,755378,120949,108131,2807587,667839,77509,438175,702553,57693,2448352,374019,752818,183402,792333,1919165,860162,470183,436213,3595658,94476,516929,69898,1507757,504788,343523,703310,1113125,662148,1500022,599297,35699,969048,1219018,218929,785275,190222,594266,160601,276886
