Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,90.63,,72.2,,88.42,75.53,,82.81,,,73.11,86.54,74.81,,84.37,,89.71,78.27,79.22,76.34,75.88,93.41,80.99,,84.09,75.33,,84.17,,70.15,,75.06,75.11,73.95,79.17,87.01,70.63,84.72,80.38,,82.85,83.7,,,81.34,,,83.96
2003,,,88.5,92.22,76.97,71.73,,88.61,78.73,90.99,84.7,81.93,,71.89,90.01,74.06,,84.09,,89.5,79.44,81.13,79.55,77.16,,80.8,70.31,85.25,78.52,,84.27,,73.32,88.48,78.32,75.23,,79.79,87.56,69.37,85.57,79.86,,82.65,86.64,,90.55,80.66,85.81,,84.68
2004,,,88.2,92.43,81.22,71.61,,89.93,77.06,92.05,84.92,83.26,,,89.16,75.55,,84.65,76.32,89.26,80.8,83.1,81.37,80.08,93.99,82.83,92.13,83.96,79.81,85.65,85.75,,76.55,90.98,77.27,73.69,66.7,79.15,86.31,69.81,85.05,79.57,,82.69,91.01,,90.56,79.26,84.76,,85.37
2005,,85.35,88.93,92.74,75.31,71.82,,90.05,75.77,92.62,86.42,82.95,78.82,74.94,89.68,74.53,,81.86,83.83,89.77,,81.5,78.88,80.09,94.86,83.18,80.32,83.37,,82.9,85.65,,74.28,88.95,78.94,72.74,64.49,80.92,86.86,71.75,85.5,79.32,,81.88,,,90.3,85.21,85.7,,85.11
2006,,85.98,88.84,92.09,80.77,71.66,84.57,90.24,76.09,92.75,86.04,86.99,80.79,75.46,89.22,78.21,,81.95,84.65,89.57,,81.08,,81.31,95.98,79.37,78.43,83.09,76.22,84.1,85.56,,75.96,87.35,70.87,72.56,,81.68,86.84,72.2,86.56,78.95,84.17,83.69,81.98,70.2,90.08,,86.77,,85.96
2007,,86.63,89.05,91.24,81.24,71.74,84.69,89.45,76.99,93.02,86.45,85.94,77.86,77.33,89.78,73.15,,83.61,85.17,90.18,78.19,81.61,,80.02,96.18,,76.98,83.47,80.51,84.41,85.8,83.44,78.72,89.28,78.59,73.24,,81.34,87.79,73.98,87.19,79.14,85.66,82.36,81.6,,90.46,81.25,85.55,,86.78
2008,81.24,88.18,84.74,90.34,,69.44,84.48,89.97,77.72,93.52,86.91,85.43,79.74,77.72,87.75,78.33,,,87.71,88.31,81.44,80.7,81.06,80.07,97.0,82.14,79.72,84.71,82.6,85.72,86.71,76.89,70.93,92.44,76.08,74.26,,81.16,88.29,76.33,85.85,80.46,86.22,81.76,84.36,76.16,91.05,77.5,87.78,87.61,87.0
