Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,59.77,,57.32,,62.44,55.06,,57.02,,,56.1,51.94,64.94,,63.04,,70.44,61.53,83.78,75.86,72.65,48.46,63.49,,70.15,61.41,,63.27,,70.54,,54.65,54.57,59.56,68.54,69.39,50.88,76.93,55.16,,75.29,69.07,,,69.61,,,64.79
2003,,,67.44,64.31,90.74,58.13,,67.77,63.31,59.58,61.48,49.71,,57.59,59.0,62.59,,62.73,,94.67,65.78,52.94,95.17,69.89,,63.53,73.01,72.33,63.23,,67.71,,58.62,85.19,65.39,53.47,,68.25,69.78,51.59,69.76,51.36,,69.88,66.29,,75.16,69.91,70.79,,69.41
2004,,,67.96,62.96,91.56,58.94,,68.91,54.24,62.09,61.17,50.99,,,58.86,51.5,,64.25,19.26,79.3,68.6,69.57,91.61,69.52,52.64,64.57,88.74,68.55,65.7,68.85,69.09,,67.48,96.23,64.27,51.91,42.93,68.27,71.18,52.42,61.06,52.2,,76.02,67.21,,73.45,69.63,69.01,,68.67
2005,,67.73,69.37,64.82,,59.16,,74.0,47.29,64.23,60.63,52.14,61.13,57.6,60.88,57.6,,58.84,49.55,79.23,,54.24,86.37,67.17,55.97,69.97,77.69,66.08,,63.03,67.6,,67.73,83.04,69.86,51.19,44.5,69.42,71.52,54.24,66.02,55.18,,71.99,,,75.41,73.06,62.93,,67.68
2006,,65.87,71.18,72.92,,59.25,81.99,70.37,50.05,65.55,55.4,61.69,60.83,59.33,61.35,60.65,,56.64,52.15,75.2,,51.96,,73.92,58.43,64.02,76.81,64.71,58.04,63.1,66.71,,68.56,92.12,57.06,51.89,,70.78,72.5,55.22,68.04,52.71,100.0,76.56,61.16,50.66,73.75,,69.12,,69.78
2007,,69.55,71.13,57.01,,59.75,78.08,73.35,53.39,66.65,55.64,60.78,58.15,60.55,61.61,51.78,,57.32,55.17,88.15,67.61,61.8,,72.43,63.06,,77.15,65.75,61.94,65.19,66.34,59.25,69.61,94.84,71.44,55.72,,72.47,73.01,57.4,64.47,52.59,100.0,75.74,53.97,,73.63,70.28,65.12,,68.94
2008,63.15,73.81,63.57,56.66,,57.82,91.72,72.82,59.65,69.12,56.95,59.9,60.68,62.21,60.76,56.23,,,58.54,85.28,68.57,65.0,91.73,70.23,65.25,66.83,78.75,67.97,65.11,66.98,67.48,62.36,75.31,100.0,67.61,59.82,,68.75,71.8,61.23,73.58,56.41,100.0,72.21,70.25,58.94,76.56,68.05,69.94,64.65,71.7
