Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,61.16,,49.96,,65.68,68.21,,68.0,,,58.4,59.32,56.67,,58.38,,82.93,100.0,60.23,90.2,66.43,62.79,54.27,,63.55,62.12,,57.83,,59.62,,53.63,62.18,55.0,65.07,75.59,50.24,82.32,65.08,,60.66,57.39,,,77.96,,,84.06
2003,,,56.72,67.59,97.3,37.96,,70.78,72.47,58.44,67.92,55.19,,52.07,62.82,62.3,,58.02,,89.27,100.0,60.82,86.3,77.78,,57.18,59.79,65.1,63.77,,55.71,,69.78,86.58,58.14,60.2,,66.67,74.99,47.49,67.97,61.1,,55.07,61.72,,75.88,77.14,59.25,,82.63
2004,,,56.87,71.97,100.0,53.1,,68.11,68.54,57.82,65.83,52.56,,,60.87,2.17,,59.43,14.2,62.62,99.65,62.65,90.11,100.0,66.81,53.73,72.17,62.2,61.38,71.15,57.96,,71.72,68.35,55.32,57.52,37.14,68.43,71.08,46.88,80.75,57.84,,63.89,54.26,,75.54,74.72,54.72,,83.01
2005,,57.32,55.67,63.46,,65.85,,70.37,55.81,59.21,65.76,51.43,56.92,54.01,60.11,63.33,,53.38,43.75,91.01,,63.03,84.5,88.95,64.84,61.53,58.79,60.87,,61.36,57.96,,68.58,65.06,57.81,56.64,39.55,68.55,70.97,46.19,91.4,62.69,,61.25,,,74.26,74.61,52.27,,86.64
2006,,59.12,59.95,62.35,,62.61,64.83,65.55,58.26,63.17,62.93,59.88,57.75,58.16,59.61,64.43,,53.01,44.42,64.75,,57.19,,94.16,66.16,58.6,60.36,60.21,53.44,61.67,57.12,,64.56,54.7,48.45,57.57,,66.31,70.85,50.09,79.86,61.1,51.18,63.04,51.68,38.84,72.47,,54.56,,80.52
2007,,59.13,60.61,61.19,,56.33,63.61,69.01,67.9,59.11,62.4,60.9,54.7,52.24,65.29,89.42,,55.58,48.82,63.27,70.39,59.14,,79.75,66.58,,62.47,62.81,58.83,64.37,60.21,51.2,71.46,66.99,58.01,58.53,,67.52,71.52,50.8,65.54,60.27,46.6,63.94,45.36,,74.41,71.71,51.86,,81.72
2008,66.58,62.62,51.85,60.23,,64.42,67.82,61.95,68.07,60.34,60.78,57.41,57.97,57.93,63.65,82.97,,,52.76,63.41,73.37,60.37,71.74,83.12,73.32,57.82,63.77,66.37,62.4,65.35,60.43,48.02,70.97,69.12,57.5,61.65,,69.84,72.01,52.82,71.08,60.61,38.85,60.41,56.63,60.94,74.19,70.83,55.79,60.86,76.58
