Year,DE,AL,OK,TX,CO,KS,NE,ID,SC,NM,NH,RI,MO,MT,SD,FL,AZ,VT,OR,WI,WY,NY,AR,IN,ME,VA,PA,MA,CT,IA,CA,ND,LA,DC,OH,KY,MS,TN,NJ,WA,IL,MD,AK,NC,MI,NV,GA,UT,MN,HI,WV
2010,462995,2459548,1894374,12673281,2508534,1437710,920045,782258,2375263,1041758,667076,544167,3055450,492748,406799,9611955,3216194,317535,1935072,2864586,276189,10000955,1484281,3294065,678305,4075041,6512016,3381001,1834483,1538036,18736126,332727,2314080,317501,5904348,2204415,1526057,3252601,4512294,3374833,6538356,2981790,340603,4889991,5035526,1336935,4958482,1375568,2671793,679058,939408
2000,403058,2300592,1754757,10498910,2135278,37500,867912,645288,2063083,924729,628099,544684,2875034,452715,380286,8184656,2569575,310481,1724848,2714633,245408,9829709,1368707,3097981,654614,3606619,6351391,3290281,1756246,1490809,16996756,321675,2306073,302693,5840878,2066384,1471099,2919003,4331511,2959821,6338920,2738602,302820,4106617,5065349,980206,4159336,1114138,2483848,602866,929154
