Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,63.53,,65.86,,70.81,74.68,,71.37,,,64.4,64.75,67.91,,64.2,,75.93,100.0,61.86,100.0,68.09,69.56,64.56,,68.67,68.35,,60.86,,66.93,,58.61,67.32,58.13,69.72,84.57,53.56,83.48,70.95,,65.31,62.42,,,87.67,,,89.72
2003,,,61.5,73.61,100.0,51.95,,75.94,78.94,62.97,71.53,58.86,,58.81,69.07,63.33,,64.3,,87.53,100.0,66.26,86.91,89.89,,66.59,64.88,69.87,66.84,,59.86,,68.29,87.68,61.75,66.14,,70.38,81.7,50.27,79.85,68.73,,62.18,65.18,,80.07,77.92,64.0,,85.84
2004,,,62.85,76.28,100.0,68.75,,72.98,71.89,65.09,70.85,57.11,,,66.94,27.64,,65.44,15.08,70.52,89.47,64.57,96.72,100.0,70.89,62.4,77.92,66.31,66.94,76.35,62.17,,71.5,75.75,60.72,62.92,42.01,71.41,78.67,51.18,84.32,64.03,,70.5,59.18,,78.72,79.65,59.64,,86.51
2005,,63.53,60.27,68.76,,65.74,,73.42,63.35,63.52,70.66,56.39,63.08,60.15,66.46,68.65,,58.58,48.87,89.1,,65.37,89.77,100.0,71.77,65.28,64.93,64.01,,68.73,60.56,,71.0,60.97,61.95,61.31,44.74,73.27,78.03,51.21,88.19,68.08,,67.94,,,76.47,83.74,57.98,,88.65
2006,,64.82,64.06,66.94,,66.3,68.97,71.47,62.98,66.54,65.79,64.73,64.06,61.35,65.03,64.43,,58.23,49.96,65.66,,63.57,,93.21,72.16,64.77,65.9,63.09,58.09,66.81,62.59,,69.58,62.39,52.1,62.37,,75.14,76.81,53.01,84.98,68.73,49.93,71.96,57.06,44.04,74.92,,59.26,,86.74
2007,,64.67,65.77,67.19,,65.66,68.72,72.29,72.31,62.26,65.66,65.3,60.28,62.13,69.62,90.68,,61.11,53.62,70.89,75.51,65.46,,87.56,74.98,,66.89,65.87,63.73,70.56,63.63,57.43,71.29,63.88,62.3,63.93,,73.16,75.91,55.39,69.05,66.62,48.11,70.65,50.53,,77.25,77.94,56.74,,83.69
2008,71.99,67.64,55.53,66.91,,67.75,72.74,69.36,73.62,63.92,66.07,62.49,63.07,63.03,68.75,89.36,,,57.93,66.61,79.35,69.62,74.64,88.05,77.29,61.29,69.31,69.62,66.88,71.78,64.65,54.45,70.83,72.55,60.8,66.88,,73.91,76.77,56.55,76.51,66.79,41.64,67.88,61.17,64.02,77.01,75.7,60.88,65.84,80.34
