Year,DE,AL,OK,TX,CO,KS,NE,ID,SC,NM,NH,RI,MO,MT,SD,FL,AZ,VT,OR,WI,WY,NY,AR,IN,ME,VA,PA,MA,CT,IA,CA,ND,LA,DC,OH,KY,MS,TN,NJ,WA,IL,MD,AK,NC,MI,NV,GA,UT,MN,HI,WV
2010,434939,2320188,1856977,12472280,2520662,1415408,906296,785324,2250101,1017421,649394,508400,2933477,496667,407381,9189355,3175823,308206,1896002,2822400,287437,9377147,1431637,3189737,650056,3925983,6190363,3166628,1739614,1508319,18517830,339864,2219292,284222,5632156,2134952,1441240,3093504,4279600,3349707,6292276,2791762,369628,4645492,4848114,1363616,4729171,1388317,2632132,681243,913586
2000,380538,2146500,1695890,10352910,2165983,35346,843351,648653,1948929,894317,607687,503635,2720176,449480,374558,7797693,2561057,298327,1696549,2649040,248374,9146748,1304693,2982443,620309,3471894,5929663,3058816,1649319,1435515,16874892,320521,2162903,269366,5512262,1975349,1373547,2770269,4082786,2934300,6080311,2557722,324112,3942693,4873095,1018051,4027110,1119031,2435631,608671,879154
