Year,DE,AL,OK,TX,CO,KS,NE,ID,SC,NM,NH,RI,MO,MT,SD,FL,AZ,VT,OR,WI,WY,NY,AR,IN,ME,VA,PA,MA,CT,IA,CA,ND,LA,DC,OH,KY,MS,TN,NJ,WA,IL,MD,AK,NC,MI,NV,GA,UT,MN,HI,WV
2010,149879,827502,665540,4937351,881649,521447,327313,307300,778177,373691,217428,166508,1035199,161140,143176,2928585,1173299,97281,628897,981049,95199,3169107,513786,1174223,205013,1344052,2062617,1051836,614909,525870,6763707,105276,803755,68202,2009895,741004,544599,1088188,1524194,1141697,2293602,988476,133382,1649595,1747782,477530,1804767,607103,928559,216411,283358
2000,143056,827430,656006,4262131,803290,14412,333194,271385,744962,377946,233877,183926,1057794,175193,151580,2700517,984561,113530,623521,1026416,97933,3450690,498784,1151170,230512,1276279,2194417,1102796,618344,545225,6762848,121449,902407,82456,2133409,728916,570817,1023638,1523771,1119537,2368888,1002759,143126,1424538,1923762,365982,1574081,509320,957300,217604,300581
