Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,55.19,,48.05,,59.14,70.81,,86.61,,,89.14,89.86,59.62,,77.47,,48.75,45.21,40.0,87.91,48.65,70.16,100.0,,83.26,58.92,,77.51,,62.79,,65.14,86.43,67.86,82.07,70.43,52.28,55.27,95.77,,61.82,64.53,,,74.43,,,72.79
2003,,,82.91,51.72,57.16,41.89,,56.7,77.82,57.32,81.92,59.55,,71.75,79.79,53.06,,76.62,,48.95,42.42,48.8,83.64,62.07,,100.0,58.09,87.2,60.42,,88.22,,62.5,60.76,66.08,100.0,,81.01,62.25,63.28,57.87,73.6,,61.5,70.77,,100.0,78.87,65.22,,92.6
2004,,,90.34,51.27,84.96,64.18,,71.72,76.74,58.93,74.0,53.22,,,100.0,50.4,,73.75,49.83,47.26,31.17,32.65,90.89,81.82,70.01,77.59,84.15,87.62,58.24,85.6,73.44,,85.0,62.65,66.8,100.0,49.89,81.41,92.22,55.65,62.67,67.07,,61.74,61.27,,100.0,98.76,63.19,,95.1
2005,,73.73,76.74,60.11,,52.33,,76.11,72.83,59.35,64.57,53.78,55.09,78.28,74.7,55.84,,66.24,59.83,58.03,,55.18,68.73,52.94,76.45,81.82,50.04,83.86,,82.52,60.5,,70.73,55.21,66.15,76.97,46.85,80.9,75.16,37.21,61.42,65.41,,75.0,,,100.0,98.88,59.21,,87.58
2006,,60.53,60.47,54.74,,62.34,69.18,59.95,66.67,59.15,61.21,60.05,58.38,76.26,100.0,60.46,,64.28,61.79,54.34,,50.54,,63.16,71.6,86.96,50.67,89.8,60.05,78.77,66.41,,54.07,48.65,56.31,70.87,,79.56,83.65,48.16,60.98,74.06,55.55,66.96,66.17,59.19,91.22,,65.66,,94.49
2007,,70.94,61.48,59.4,,60.71,77.26,59.85,72.51,60.52,79.88,73.58,55.25,83.46,88.78,55.97,,71.72,58.77,52.48,59.76,44.32,,60.0,76.58,,59.47,84.47,65.15,65.84,68.64,100.0,91.86,53.72,66.78,72.79,,79.23,79.32,80.6,67.03,75.16,45.79,70.75,62.48,,100.0,96.19,73.08,,100.0
2008,68.13,100.0,61.33,62.25,,58.61,70.74,69.23,76.8,56.32,93.69,68.46,55.66,89.4,70.62,59.68,,,66.27,55.99,7.18,42.39,72.79,57.69,76.51,100.0,57.49,86.65,70.46,77.55,69.84,100.0,85.71,55.46,65.63,68.92,,77.0,79.43,73.94,64.71,76.43,73.97,87.93,69.34,69.14,100.0,84.17,67.23,80.16,84.6
