Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,97.52,,86.14,,96.68,78.77,,95.34,,,87.94,100.0,84.17,,91.04,,87.22,100.0,92.98,89.59,100.0,88.68,100.0,,99.01,87.19,,85.08,,72.43,,82.33,92.92,89.62,96.06,100.0,88.93,100.0,100.0,,80.05,84.08,,,100.0,,,100.0
2003,,,100.0,100.0,96.95,79.56,,94.64,90.24,83.65,100.0,95.51,,88.18,99.32,80.41,,92.03,,100.0,100.0,86.93,90.84,100.0,,100.0,88.71,99.33,86.93,,88.36,,74.07,99.0,92.01,94.07,,100.0,100.0,87.81,100.0,94.07,,70.76,88.1,,100.0,100.0,97.08,,100.0
2004,,,99.6,100.0,85.78,89.69,,98.87,88.33,86.27,100.0,92.04,,,100.0,75.0,,91.57,26.54,100.0,100.0,91.3,100.0,100.0,91.48,100.0,100.0,96.36,90.34,100.0,89.97,,76.37,84.16,90.77,91.13,76.8,100.0,98.32,87.89,87.96,97.32,,75.84,84.34,,100.0,100.0,96.02,,100.0
2005,,83.88,100.0,92.96,,72.32,,100.0,81.3,86.62,100.0,96.95,83.79,84.39,100.0,76.23,,87.61,81.12,94.5,,95.59,95.28,100.0,93.78,100.0,100.0,95.47,,97.49,91.65,,76.78,80.0,91.32,93.53,78.38,100.0,100.0,90.92,100.0,96.83,,69.87,,,100.0,100.0,90.33,,100.0
2006,,83.97,96.69,97.56,,84.36,100.0,95.23,82.77,86.39,95.7,97.74,88.14,80.17,100.0,78.16,,87.45,83.4,99.7,,90.31,,100.0,92.28,100.0,99.58,99.04,84.44,97.83,83.66,,76.62,100.0,82.11,91.82,,100.0,99.63,94.54,100.0,98.8,100.0,78.16,82.35,73.65,100.0,,91.55,,100.0
2007,,89.12,99.02,97.71,,88.39,91.68,93.98,86.11,87.95,95.31,96.09,84.36,87.17,100.0,76.53,,91.21,84.89,97.65,100.0,99.01,,100.0,97.54,,98.62,98.62,86.85,99.52,95.7,74.61,77.23,86.39,100.0,91.38,,100.0,100.0,92.89,100.0,100.0,99.24,74.88,73.53,,100.0,100.0,92.07,,100.0
2008,90.51,93.27,88.49,92.39,,80.04,96.85,98.3,94.24,90.44,98.69,95.79,87.64,90.2,92.88,79.89,,,89.11,99.33,98.9,87.34,100.0,100.0,99.54,91.91,99.25,100.0,95.43,99.29,89.42,86.76,76.64,93.75,93.58,94.01,,100.0,98.8,94.06,92.22,99.96,100.0,76.0,91.34,90.34,100.0,94.44,96.38,99.9,100.0
