Year,DE,AL,OK,TX,CO,KS,NE,ID,SC,NM,NH,RI,MO,MT,SD,FL,AZ,VT,OR,WI,WY,NY,AR,IN,ME,VA,PA,MA,CT,IA,CA,ND,LA,DC,OH,KY,MS,TN,NJ,WA,IL,MD,AK,NC,MI,NV,GA,UT,MN,HI,WV
2010,73221,185602,332007,9460921,1038687,300042,167405,175901,235682,953403,36704,130655,212470,28565,22119,4223806,1895149,9208,450062,336056,50231,3416922,186050,389707,16935,631825,719660,627654,479087,151544,14013719,13467,192560,54749,354674,132836,81481,290059,1555144,755790,2027578,470632,39249,800120,436358,716501,853689,358340,250258,120842,22268
2000,37273,75830,179304,6669666,735601,3144,94425,101690,95076,765386,20489,90820,118592,18081,10903,2682713,1295617,5504,275314,192921,31669,2867583,86866,214536,9360,329540,394088,428729,320323,82473,10966556,7786,107738,44953,217123,59939,39569,123838,1117191,441509,1530262,227886,25852,378963,323877,393970,435227,201559,143382,87699,12279
