Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,54.74,,48.03,,57.86,48.14,,51.48,,,48.74,45.53,59.6,,56.75,,67.98,58.27,77.14,86.99,70.69,42.79,55.73,,63.99,53.11,,57.6,,58.92,,48.79,49.26,57.09,62.89,62.15,43.88,68.19,48.37,,67.65,62.99,,,61.97,,,57.33
2003,,,59.85,59.19,100.0,49.17,,66.0,54.6,55.18,55.66,43.7,,50.57,52.28,59.13,,57.15,,100.0,63.38,41.86,82.26,67.52,,55.94,69.72,66.4,56.41,,62.56,,56.58,85.07,61.93,47.85,,63.12,62.21,44.78,56.54,43.74,,63.78,61.55,,71.02,62.83,65.21,,63.06
2004,,,61.09,57.67,98.78,49.94,,65.75,47.14,56.42,55.09,43.83,,,52.15,50.71,,57.88,17.43,81.33,66.65,65.35,89.74,63.65,45.26,56.0,87.17,63.37,58.25,61.91,66.42,,61.45,100.0,61.05,47.04,37.12,63.0,63.22,45.66,66.44,44.55,,68.86,59.03,,70.44,63.6,65.49,,60.87
2005,,61.52,62.84,57.98,,49.44,,69.28,39.92,60.9,54.68,45.28,54.67,50.52,53.6,50.76,,53.4,43.98,82.33,,47.69,77.0,61.89,47.8,59.77,71.7,61.28,,54.87,63.81,,63.91,73.68,64.87,45.8,38.65,65.21,64.2,47.29,62.2,48.23,,68.63,,,72.0,66.4,56.85,,61.66
2006,,60.75,63.89,82.28,,49.57,83.33,65.82,43.41,62.46,50.21,54.04,56.84,51.98,54.16,54.43,,51.33,46.03,77.51,,50.56,,70.88,51.19,56.87,71.64,60.34,51.0,54.89,64.22,,66.74,100.0,48.86,46.41,,64.31,65.14,48.53,55.76,45.44,93.93,69.2,60.94,41.2,71.19,,61.91,,62.65
2007,,65.65,65.8,52.51,,51.26,85.56,70.47,44.98,62.8,51.44,53.23,53.76,52.58,54.03,47.19,,51.71,49.0,83.49,60.63,48.98,,70.53,55.03,,73.88,61.29,54.66,56.87,62.94,48.43,70.21,100.0,66.6,49.57,,68.32,66.47,50.4,68.98,45.41,100.0,68.37,56.55,,69.81,63.23,59.05,,61.61
2008,60.81,69.26,58.29,48.96,,49.75,94.34,67.79,51.73,65.64,52.45,52.97,56.63,54.98,54.25,52.02,,,53.04,79.79,61.56,59.28,92.05,64.64,58.18,60.78,76.72,64.22,58.33,59.67,63.7,53.23,76.3,100.0,62.68,53.86,,63.84,65.06,53.98,78.04,48.54,100.0,66.91,60.0,49.95,73.05,62.05,66.08,58.77,66.08
