Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,97.84,,84.45,,100.0,88.89,,100.0,,,90.98,100.0,85.67,,95.21,,87.9,96.93,95.29,95.84,100.0,96.02,100.0,,100.0,89.39,,88.39,,76.62,,88.45,97.33,89.78,94.9,100.0,92.95,100.0,100.0,,83.49,86.08,,,100.0,,,100.0
2003,,,100.0,100.0,100.0,90.81,,100.0,96.12,89.71,100.0,100.0,,95.84,100.0,86.02,,96.01,,100.0,100.0,94.19,99.59,100.0,,100.0,88.54,100.0,90.36,,91.29,,77.53,91.18,88.24,99.08,,97.71,100.0,91.99,100.0,95.96,,71.17,91.16,,100.0,100.0,100.0,,100.0
2004,,,100.0,100.0,100.0,90.7,,100.0,91.4,93.3,100.0,95.41,,,100.0,78.05,,95.29,27.99,100.0,93.73,91.46,96.64,100.0,95.69,100.0,100.0,98.92,91.9,100.0,100.0,,79.19,87.27,100.0,96.54,81.37,98.55,100.0,90.99,100.0,99.18,,85.42,90.4,,100.0,100.0,100.0,,100.0
2005,,85.98,100.0,100.0,,79.83,,100.0,89.26,91.6,100.0,100.0,87.87,86.84,100.0,80.91,,91.07,88.06,95.54,,100.0,100.0,100.0,99.78,100.0,100.0,97.52,,100.0,99.47,,79.21,86.49,95.97,97.61,81.82,100.0,100.0,92.91,100.0,97.0,,77.22,,,100.0,100.0,94.96,,100.0
2006,,86.12,98.26,95.91,,89.08,100.0,100.0,85.7,91.72,97.51,100.0,90.83,86.48,100.0,84.63,,90.63,90.42,100.0,,100.0,,100.0,96.3,100.0,100.0,100.0,86.14,100.0,85.0,,79.24,100.0,81.56,96.49,,100.0,100.0,97.39,100.0,100.0,99.91,74.63,86.02,81.61,100.0,,96.47,,100.0
2007,,91.07,100.0,100.0,,92.77,91.69,99.0,86.11,91.16,98.09,100.0,88.7,93.45,100.0,78.21,,94.61,91.62,100.0,98.15,100.0,,100.0,100.0,,100.0,100.0,90.25,100.0,98.1,96.42,80.08,83.65,100.0,94.06,,100.0,100.0,94.85,100.0,100.0,100.0,79.09,74.86,,100.0,100.0,94.87,,100.0
2008,93.79,94.55,89.91,95.0,,83.5,96.86,100.0,97.65,93.07,100.0,98.45,91.09,93.43,94.19,63.46,,,94.59,100.0,94.89,80.17,98.68,100.0,100.0,93.05,100.0,100.0,93.34,100.0,88.01,88.84,78.98,94.44,93.1,97.94,,100.0,100.0,95.74,98.79,100.0,100.0,81.21,94.18,97.2,97.6,100.0,97.36,100.0,100.0
