Year,DE,AL,OK,TX,CO,KS,NE,ID,SC,NM,NH,RI,MO,MT,SD,FL,AZ,VT,OR,WI,WY,NY,AR,IN,ME,VA,PA,MA,CT,IA,CA,ND,LA,DC,OH,KY,MS,TN,NJ,WA,IL,MD,AK,NC,MI,NV,GA,UT,MN,HI,WV
2010,28549,53595,65076,964596,139028,67762,32293,19069,59051,28208,28407,30457,98083,6253,7610,454821,176695,7947,141263,129234,4426,1420244,36102,102474,13571,439890,349088,349768,135565,53094,4861007,6909,70132,21056,192233,48930,25742,91242,725726,481067,586934,318853,38135,208962,238199,195436,314467,55285,214234,525078,12406
2000,16259,31346,46767,562319,95213,184,21931,11889,36014,19255,15931,23665,61595,4691,4378,266256,92236,5216,101350,88763,2771,1044976,20220,59126,9111,261025,219813,238124,82313,36635,3697513,3606,54758,15189,132633,29744,18626,56662,480276,322335,423603,210922,25116,113689,176510,90266,173170,37108,141968,503868,9434
