,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2010,53203,18850,11256,18427,2207,15030,21441,11084,30579,60916,25292,62007,103869,28218,43963,104871,19994,362801,106906,71817,10120,13336,8568,3787,54526,4181,296529,170972,122110,29225,28150,2079,4164,36591,193222,71458,32062,321687,20420,32151,62555,18462,3150,6058,32927,19524,29026,22248,56010,26843,27376
2000,45211,15015,9639,14896,2418,11652,17645,8989,25477,54967,24486,58479,93301,22430,31006,98043,15152,333346,82461,62283,8616,11133,7098,3606,47228,2731,255879,118362,99551,21172,442,1713,3535,31329,173483,53541,26420,273230,15423,21737,56068,15815,2964,5121,29684,13718,19492,17808,44241,18348,25076
