,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2010,450062,627654,479087,167405,9208,81481,175901,151544,192560,250258,354674,436358,755790,185602,2027578,39249,290059,14013719,3416922,22119,132836,50231,16935,22268,336056,73221,1895149,9460921,800120,631825,300042,54749,120842,13467,953403,4223806,716501,332007,470632,853689,28565,389707,36704,130655,358340,235682,1555144,186050,1038687,719660,212470
2000,275314,428729,320323,94425,5504,39569,101690,82473,107738,143382,217123,323877,441509,75830,1530262,25852,123838,10966556,2867583,10903,59939,31669,9360,12279,192921,37273,1295617,6669666,378963,329540,3144,44953,87699,7786,765386,2682713,393970,179304,227886,435227,18081,214536,20489,90820,201559,95076,1117191,86866,735601,394088,118592
