,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2010,69206,434398,362296,82885,6277,1098385,9810,89148,1452396,274412,1407681,1400362,240042,1251311,1866414,23263,1057315,2299072,3073800,10207,337520,4748,15707,63124,359148,191814,259008,2979598,2048628,1551399,167864,305125,21424,7960,42550,2999862,218626,277644,1700298,2950435,4027,591397,15035,60189,29287,1290684,1204826,449895,201737,1377689,693391
2000,55662,343454,309843,68541,3063,1033809,5456,61853,1451944,171731,1301307,1412742,190267,1155930,1876874,21787,932809,2263882,3014385,4685,295994,3722,6760,57232,304460,150665,158873,2404566,1737545,1390293,1497,343312,22003,3916,34343,2335494,135477,260968,1477319,2349542,2692,510034,9035,46908,17657,1185216,1141817,418950,165063,1224612,629391
