,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2010,533533,902724,506559,246677,91078,380407,194668,452888,557857,683121,1622015,1361530,827677,657792,1609213,54938,853462,4246514,2617943,116581,578227,70090,211080,297404,777314,129277,881831,2601886,1234079,976937,376116,68809,195138,97477,272255,3259602,324359,506714,707642,1032035,146742,841108,178268,151881,249462,631874,1185993,419981,549625,1959307,838294
2000,438175,860162,470183,232195,77509,343523,145914,436213,516929,594266,1507757,1219018,662148,579792,1500022,35699,703310,3595658,2448352,108131,504788,57693,183402,276886,702553,101726,667839,2072532,969048,792333,13139,69898,160601,94476,212225,2807587,218929,455950,599297,785275,120949,752818,147970,152402,190222,485333,1113125,374019,416073,1919165,755378
