Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,82.67,,55.22,,83.42,58.88,,73.65,,,60.0,72.9,64.51,,68.91,,80.52,70.42,70.61,70.68,75.3,82.75,68.0,,71.41,66.63,,76.18,,67.65,,58.1,62.35,66.68,73.43,74.49,55.97,79.78,72.68,,73.54,77.52,,,72.53,,,75.32
2003,,,77.23,85.83,73.14,55.32,,83.48,62.99,81.62,75.55,70.1,,60.94,77.08,64.74,,68.41,,81.48,72.77,72.78,74.69,76.53,,67.88,64.41,72.77,66.54,,77.44,,69.86,85.85,63.73,61.95,,75.09,74.93,56.12,78.0,69.71,,72.14,80.45,,84.68,73.7,75.51,,78.31
2004,,,77.71,85.96,77.36,56.0,,84.42,58.31,82.57,75.77,69.75,,,76.05,58.62,,69.15,46.08,79.06,73.01,73.16,75.26,74.54,83.99,66.81,82.22,70.55,68.0,74.86,78.68,,72.27,84.34,60.61,60.51,51.75,75.23,74.65,56.54,80.11,69.61,,74.76,80.33,,84.51,72.57,73.67,,78.11
2005,,76.67,77.73,84.61,,55.94,,84.51,53.43,83.31,77.15,69.38,68.71,61.39,76.41,63.66,,65.0,64.42,82.42,,72.98,73.49,73.92,84.19,70.91,66.74,69.54,,69.41,77.77,,73.3,79.18,63.63,59.55,51.35,75.65,75.57,57.66,80.35,70.09,,75.65,,,84.2,76.35,71.49,,79.04
2006,,77.09,79.28,85.06,,56.1,77.81,84.2,55.93,83.57,76.26,74.17,69.88,62.36,75.68,65.49,,64.49,65.11,79.72,,72.46,,75.39,85.56,67.19,65.49,69.24,63.15,69.97,77.13,,72.72,81.3,53.65,59.99,,74.69,75.6,58.95,78.79,69.08,79.02,75.22,73.39,52.85,83.94,,72.64,,79.45
2007,,78.03,79.72,80.7,,56.67,77.33,85.46,57.25,83.69,76.64,73.89,67.22,63.94,76.46,62.89,,66.28,67.69,82.46,69.71,72.7,,74.88,86.52,,67.32,70.4,66.96,71.76,78.16,49.77,72.92,82.16,62.52,61.39,,75.48,76.21,60.34,79.29,69.18,81.03,74.18,70.49,,83.97,72.05,72.0,,80.11
2008,74.45,81.15,72.2,79.85,,55.36,77.8,83.45,61.45,85.11,77.21,72.86,69.12,65.37,74.33,69.33,,,70.42,78.73,72.73,71.53,77.02,74.1,88.23,69.94,68.59,72.69,85.92,73.62,78.67,53.67,73.58,85.96,61.42,63.67,,75.28,75.81,62.9,80.45,70.31,82.33,72.24,76.15,60.08,84.79,71.05,73.98,78.37,81.03
