Year,OR,MA,CT,NE,VT,MS,ID,IA,LA,MN,OH,MI,WA,AL,IL,AK,TN,CA,NY,SD,KY,WY,ME,WV,WI,DE,AZ,TX,NC,VA,KS,DC,HI,ND,NM,FL,NV,OK,MD,GA,MT,IN,NH,RI,UT,SC,NJ,AR,CO,PA,MO
2002,,,,54.22,,52.84,,66.36,64.13,,78.07,,,84.02,87.5,54.79,,72.92,,47.66,84.98,36.72,66.75,53.42,64.44,81.82,,81.28,50.9,,71.4,,54.9,,57.78,75.52,65.36,80.09,72.42,47.74,53.01,73.13,,48.27,62.22,,,75.21,,,75.37
2003,,,76.31,51.69,54.32,31.96,,64.66,70.33,54.42,76.44,56.99,,73.27,80.7,51.24,,71.82,,43.81,74.47,46.29,73.25,59.02,,74.07,53.28,83.19,54.61,,83.67,,51.52,56.76,61.86,100.0,,79.45,62.97,56.76,58.21,69.46,,61.13,67.68,,100.0,82.88,64.04,,80.87
2004,,,77.72,56.77,73.76,64.56,,76.15,66.54,55.12,66.81,49.97,,,100.0,46.06,,68.04,44.9,43.04,54.06,39.54,87.0,66.67,66.5,77.59,81.48,84.73,52.78,83.27,76.79,,91.55,56.84,59.5,100.0,46.07,78.63,83.77,52.07,60.31,61.95,,58.84,64.03,,100.0,99.34,63.39,,88.77
2005,,64.44,76.81,57.78,,41.46,,72.13,64.15,53.78,63.07,49.54,51.03,74.35,71.45,51.06,,61.68,55.43,56.28,,65.4,66.28,55.75,70.76,75.0,46.93,83.95,,78.06,59.26,,53.86,48.03,61.21,71.54,44.21,78.35,78.36,43.62,58.24,68.0,,72.94,,,100.0,93.65,59.88,,93.51
2006,,62.39,62.45,56.42,,57.3,69.02,59.79,59.36,54.66,68.14,55.13,53.64,72.05,100.0,57.12,,60.9,53.78,46.78,,44.85,,65.75,69.89,77.88,47.19,85.35,53.77,74.9,62.02,,61.56,47.97,52.31,65.01,,77.45,71.79,47.88,56.34,65.95,52.11,58.37,58.21,47.3,88.9,,60.19,,90.86
2007,,66.9,65.68,55.03,,58.53,66.96,64.81,65.15,55.64,74.53,68.32,50.57,82.24,95.69,51.9,,65.34,56.04,51.31,50.58,38.51,,68.85,73.91,,56.48,80.05,60.67,68.03,65.22,100.0,80.52,47.04,61.03,70.32,,76.53,73.35,72.26,63.25,69.7,60.47,78.69,57.57,,100.0,87.19,61.92,,93.28
2008,63.59,76.0,60.95,56.28,,49.2,62.33,64.26,69.94,53.91,84.05,65.96,51.28,84.85,70.62,51.85,,,61.0,54.4,7.21,45.03,79.51,56.47,74.06,81.58,53.75,81.86,69.75,79.65,69.68,100.0,77.27,52.33,59.99,68.4,,75.61,71.63,76.09,62.96,68.63,77.69,78.42,62.84,63.06,71.25,79.1,61.53,73.63,83.38
